Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Kyrgyz Republic,KGZ,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.54,..,..,..,..,5.81,..,..,..,..,6.87,..,..,..,..,..,..,..,..,..,..
Lao PDR,LAO,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.87,..,..,..,..,1.17,..,..,..,..,1.37,..,..,..,..,..,..,..,..,..,..
Latvia,LVA,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.47,..,..,..,..,8.05,..,..,..,..,8.44,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,3.2,..,..,..,..,3.4,..,..,..,..,3.16,..,..,..,..,..,..,..,..,..,..
Liberia,LBR,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,1.13,..,..,..,..,1.05,..,..,..,..,0.97,..,..,..,..,..,..,..,..,..,..
Libya,LBY,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,0.6,..,..,..,..,0.79,..,..,..,..,1.26,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,4.15,..,..,..,..,7.82,..,..,..,..,6.61,..,..,..,..,..,..,..,..,..,..
Luxembourg,LUX,"Barro-Lee: Average years of total schooling, age 75+, total",BAR.SCHL.75UP,7.42,..,..,..,..,8.27,..,..,..,..,9.12,..,..,..,..,..,..,..,..,..,..
